statistic_yyy,site_id,people_total
109,臺南市麻豆區,43713
109,臺南市下營區,23452
109,臺南市六甲區,21668
109,臺南市官田區,21212
109,臺南市大內區,9200
109,臺南市佳里區,58785
109,臺南市學甲區,25293
109,臺南市西港區,24522
109,臺南市七股區,22142
109,臺南市將軍區,19073
109,臺南市北門區,10601
109,臺南市新化區,43317
109,臺南市善化區,50814
109,臺南市新市區,37660
109,臺南市安定區,30374
109,臺南市山上區,7128
109,臺南市玉井區,13602
109,臺南市楠西區,9178
109,臺南市南化區,8398
109,臺南市左鎮區,4569
109,臺南市仁德區,76385
109,臺南市歸仁區,68164
109,臺南市關廟區,33941
109,臺南市龍崎區,3768
109,臺南市永康區,235415
109,臺南市東區,184958
109,臺南市南區,123789
109,臺南市北區,130094
109,臺南市安南區,195623
109,臺南市安平區,67213
109,臺南市中西區,78556
109,高雄市鹽埕區,23553
109,高雄市鼓山區,141488
109,高雄市左營區,197306
109,高雄市楠梓區,189426
109,高雄市三民區,336868
109,高雄市新興區,50490
109,高雄市前金區,26668
109,高雄市苓雅區,167280
109,高雄市前鎮區,185828
109,高雄市旗津區,27785
109,高雄市小港區,157356
109,高雄市鳳山區,359576
109,高雄市林園區,69478
109,高雄市大寮區,112265
109,高雄市大樹區,41764
109,高雄市大社區,34324
109,高雄市仁武區,91893
109,高雄市鳥松區,44938
109,高雄市岡山區,96841
109,高雄市橋頭區,38955
109,高雄市燕巢區,29493
109,高雄市田寮區,6919
109,高雄市阿蓮區,28331
109,高雄市路竹區,51726
109,高雄市湖內區,29882
109,高雄市茄萣區,29960
109,高雄市永安區,13705
109,高雄市彌陀區,18872
109,高雄市梓官區,35517
109,高雄市旗山區,35764
109,高雄市美濃區,38611
109,高雄市六龜區,12391
109,高雄市甲仙區,5877
109,高雄市杉林區,11541
109,高雄市內門區,13976
109,高雄市茂林區,1915
109,高雄市桃源區,4223
109,高雄市那瑪夏區,3147
109,宜蘭縣宜蘭市,95395
109,宜蘭縣羅東鎮,71484
109,宜蘭縣蘇澳鎮,38864
109,宜蘭縣頭城鎮,28819
109,宜蘭縣礁溪鄉,35274
109,宜蘭縣壯圍鄉,24366
109,宜蘭縣員山鄉,32258
109,宜蘭縣冬山鄉,53024
109,宜蘭縣五結鄉,40297
109,宜蘭縣三星鄉,21215
109,宜蘭縣大同鄉,6137
109,宜蘭縣南澳鄉,5954
109,新竹縣竹北市,200782
109,新竹縣關西鎮,27775
109,新竹縣新埔鎮,33027
109,新竹縣竹東鎮,97100
109,新竹縣湖口鄉,78971
109,新竹縣橫山鄉,12547
